7Li(3/2-;1/2) -> 6Li(1+;0)+n -- AV18+UX -- 08-Jun-15

VMC 150k samples

R = r-space grid in fm
LI6N3_31  = p3/2 spectroscopic amplitude in fm-(3/2)
DLI6N3_31 = p3/2 Monte Carlo error bar (1 sigma)
LI6N1_31  = p1/2 spectroscopic amplitude in fm-(3/2)
DLI6N1_31 = p1/2 Monte Carlo error bar (1 sigma)

Spectroscopic factor
TOTINT(LI6N3_31**2*R**2:R) =  .436 (2)
TOTINT(LI6N1_31**2*R**2:R) =  .246 (1)
 
   R    LI6N3_31  DLI6N3_31   LI6N1_31  DLI6N1_31
 *****  ********  *********  *********  *********
   .05   .03989    .02443      .0249     .02031
   .15   .01075    .01368     -.00239    .01084
   .25   .03915    .007448     .03407    .006771
   .35   .05009    .005258     .04209    .004545
   .45   .0649     .005057     .05041    .004413
   .55   .07996    .003554     .06325    .00304
   .65   .09629    .003161     .07485    .002566
   .75   .1058     .002626     .08284    .0022
   .85   .1181     .00244      .09271    .002012
   .95   .1301     .002213     .1014     .001786
  1.05   .1385     .001991     .1062     .001583
  1.15   .15       .002        .1154     .001584
  1.25   .1532     .001744     .1183     .001433
  1.35   .16       .001673     .122      .001364
  1.45   .164      .001582     .1252     .00127
  1.55   .1707     .001545     .1306     .001245
  1.65   .1725     .00146      .1307     .001157
  1.75   .1742     .001444     .1326     .001119
  1.85   .1773     .001392     .1347     .001096
  1.95   .1773     .001334     .1338     .001045
  2.05   .1773     .001322     .1339     .001044
  2.15   .1746     .001276     .1319    9.963E-4
  2.25   .1747     .001272     .1322    9.932E-4
  2.35   .1676     .001222     .1275    9.608E-4
  2.45   .1665     .001228     .1253    9.511E-4
  2.55   .1632     .001199     .1239    9.311E-4
  2.65   .1557     .001154     .1187    8.928E-4
  2.75   .1515     .001149     .114     8.812E-4
  2.85   .1444     .001124     .1106    8.565E-4
  2.95   .1384     .001096     .1058    8.398E-4
  3.05   .1323     .00111      .1003    8.634E-4
  3.15   .1268     .001075     .09773   8.12E-4
  3.25   .1193     .001061     .09164   8.068E-4
  3.35   .1116     .001049     .08502   7.72E-4
  3.45   .1076     .001073     .0806    7.756E-4
  3.55   .09934    .001025     .07538   7.591E-4
  3.65   .09538    .001046     .07189   7.859E-4
  3.75   .08911   9.982E-4     .06691   7.316E-4
  3.85   .08188   9.829E-4     .06182   7.25E-4
  3.95   .07711    .001022     .05737   7.143E-4
  4.05   .07138   9.874E-4     .0532    7.078E-4
  4.15   .0668    9.878E-4     .04949   6.958E-4
  4.25   .06421    .001024     .04643   6.95E-4
  4.35   .05763   9.672E-4     .0435    6.829E-4
  4.45   .0533    9.895E-4     .03868   6.77E-4
  4.55   .04875   9.171E-4     .03584   6.443E-4
  4.65   .04588   8.923E-4     .03361   6.342E-4
  4.75   .04063   8.946E-4     .02941   6.058E-4
  4.85   .038     9.008E-4     .02744   6.217E-4
  4.95   .03342   8.49E-4      .02422   6.16E-4
  5.05   .03251   9.008E-4     .02337   6.286E-4
  5.15   .03003   9.168E-4     .02031   6.155E-4
  5.25   .02667   8.385E-4     .01926   5.766E-4
  5.35   .02467   8.36E-4      .01738   5.567E-4
  5.45   .02365    .001038     .01532   5.945E-4
  5.55   .01977   8.122E-4     .01347   5.368E-4
  5.65   .01915   8.808E-4     .01208   5.902E-4
  5.75   .01846   9.224E-4     .01159   5.506E-4
  5.85   .01552   8.266E-4     .01013   5.051E-4
  5.95   .01399   9.529E-4     .008812  5.642E-4
  6.05   .0147     .001379     .008507  7.238E-4
  6.15   .01392    .001247     .0069    6.712E-4
  6.25   .01142   9.991E-4     .006405  5.351E-4
  6.35   .009916  7.48E-4      .006142  4.436E-4
  6.45   .009922  8.773E-4     .005813  5.1E-4
  6.55   .007498  6.889E-4     .005238  4.279E-4
  6.65   .006509  6.439E-4     .004745  4.552E-4
  6.75   .007196  7.827E-4     .004429  4.607E-4
  6.85   .006631  9.442E-4     .002697  4.794E-4
  6.95   .007947   .001108     .003599  5.647E-4
  7.05   .006152  7.096E-4     .004365  4.95E-4
  7.15   .005131  9.216E-4     .002223  4.764E-4
  7.25   .004504  6.406E-4     .002874  4.241E-4
  7.35   .00342   5.499E-4     .00261   4.246E-4
  7.45   .003542  5.639E-4     .002584  4.247E-4
  7.55   .003271  6.119E-4     .002071  4.166E-4
  7.65   .003311  6.263E-4     .002275  4.465E-4
  7.75   .002021  4.745E-4     .001224  3.21E-4
  7.85   .005369   .002074   -9.74E-5   9.014E-4
  7.95   .003951   .001661    5.857E-4  7.292E-4
  8.05   .001482  5.214E-4    6.839E-4  2.825E-4
  8.15   .00213   5.698E-4     .001448  4.093E-4
  8.25  6.829E-4  2.633E-4    5.551E-4  2.303E-4
  8.35   .001773  5.302E-4     .001268  4.244E-4
  8.45   .00192    .001424   -1.279E-4  6.798E-4
  8.55  6.139E-4  3.215E-4    4.237E-4  1.942E-4
  8.65  2.675E-4  1.927E-4    3.273E-4  2.501E-4
  8.75  5.446E-4  3.31E-4     6.309E-4  3.186E-4
  8.85  4.195E-4  2.584E-4    2.99E-4   2.286E-4
  8.95  7.319E-4  4.328E-4    6.013E-4  3.529E-4
  9.05  2.05E-4   2.05E-4     7.106E-5  7.106E-5
  9.15  0         0           0         0
  9.25  0         0           0         0
  9.35  4.207E-4  2.978E-4    4.11E-4   2.912E-4
  9.45  2.856E-4  2.856E-4    2.378E-4  2.378E-4
  9.55  0         0           0         0
  9.65  0         0           0         0
  9.75  0         0           0         0
  9.85  3.163E-4  3.163E-4    2.224E-4  2.224E-4
  9.95  0         0           0         0
 10.05  0         0           0         0
 10.15  0         0           0         0
 10.25  0         0           0         0
 10.35  5.737E-4  5.737E-4    2.772E-4  2.772E-4
 10.45  0         0           0         0
 10.55  0         0           0         0
 10.65  0         0           0         0
 10.75  0         0           0         0
 10.85  0         0           0         0
 10.95  0         0           0         0
 11.05  0         0           0         0
 11.15  0         0           0         0
 11.25  0         0           0         0
 11.35  0         0           0         0
 11.45  0         0           0         0
 11.55  0         0           0         0
 11.65   .001257   .001257    3.519E-4  3.519E-4
 11.75  0         0           0         0
 11.85  0         0           0         0
 11.95  0         0           0         0
 12.05  0         0           0         0
 12.15  0         0           0         0
 12.25  0         0           0         0
 12.35  0         0           0         0
 12.45  0         0           0         0
 12.55  0         0           0         0
 12.65  0         0           0         0
 12.75  0         0           0         0
